DateTime,24hnumreward,24hreward,currentHashrate,hashrate,paymentsTotal,roundShares,workersOffline,workersOnline,workersTotal
24-04-2019 00:46,162,2654354235,1060666663,1001853405
24-04-2019 00:47,162,2654354235,1060666663,1001853405
24-04-2019 00:47,162,2654354235,1055888885,1000671027
24-04-2019 00:48,162,2654354235,1089333329,1005863580
24-04-2019 11:20,160,2335232205,1012888886,1017959940
24-04-2019 11:41,166,2414940067,1017666664,1030745295,217,45,0,7,7
24-04-2019 11:44,166,2414940067,1046333331,1039037825,217,48,0,7,7
24-04-2019 11:46,165,2397120024,1074999997,1044283390,217,53,0,7,7
24-04-2019 11:49,166,2412642266,1089333330,1044389817,217,56,0,7,7
24-04-2019 11:57,166,2405710560,1070222220,1041428533,217,45,0,7,7
24-04-2019 12:23,169,2454947137,1122777775,1058301963,217,58,0,7,7
24-04-2019 12:38,167,2413364372,1137111108,1052345600,217,46,0,7,7
24-04-2019 13:12,162,2332491636,960333329,1043832593,218,48,0,7,7
24-04-2019 13:36,161,2315975593,1031999996,1038675443,218,43,0,7,7
24-04-2019 13:49,160,2302773886,1046333330,1040396702,218,45,0,7,7
24-04-2019 13:59,161,2317669182,965111110,1023836425,218,36,0,7,7
24-04-2019 15:12,164,2354679173,902999996,986577342,219,44,0,7,7
24-04-2019 18:46,171,2397314902,1036777775,946257075,220,51,0,7,7
24-04-2019 20:56,172,2388319308,955555552,1003438590,221,34,0,7,7
